시·도,시·군·구,읍·면·동,구간거리 (km),40FT 컨테이너,20FT 컨테이너
경기도,동두천시,상패동,430,"1,147,400","999,100"
경기도,안산시 상록구,본오1동,392,"1,080,900","947,000"
경기도,안산시 단원구,초지동,397,"1,089,700","953,900"
경기도,안산시 단원구,신길동,397,"1,089,700","953,900"
경기도,고양시 덕양구,화정1동,425,"1,138,700","992,400"
경기도,고양시 일산동구,장항1동,425,"1,138,700","992,400"
경기도,남양주시,와부읍,381,"1,061,400","931,700"
경기도,남양주시,진접읍,402,"1,098,400","960,800"
경기도,남양주시,화도읍,399,"1,093,200","956,700"
경기도,남양주시,진건읍,394,"1,084,400","949,700"
경기도,남양주시,오남읍,403,"1,100,100","962,200"
경기도,남양주시,별내면,397,"1,089,700","953,900"
경기도,남양주시,수동면,395,"1,086,100","951,200"
경기도,남양주시,금곡동,387,"1,072,100","940,000"
경기도,남양주시,양정동,385,"1,068,500","937,200"
경기도,남양주시,다산1동,387,"1,072,100","940,000"
경기도,오산시,중앙동,356,"1,017,000","896,300"
경기도,오산시,남촌동,357,"1,018,700","897,700"
경기도,오산시,세마동,364,"1,031,300","907,600"
경기도,오산시,초평동,360,"1,024,100","901,800"
경기도,시흥시,대야동,406,"1,105,400","966,300"
경기도,시흥시,신천동,407,"1,107,100","967,800"
경기도,시흥시,신현동,403,"1,100,100","962,200"
경기도,시흥시,매화동,403,"1,100,100","962,200"
경기도,시흥시,목감동,397,"1,089,700","953,900"
경기도,시흥시,과림동,403,"1,100,100","962,200"
경기도,시흥시,정왕본동,402,"1,098,400","960,800"
경기도,시흥시,군자동,397,"1,089,700","953,900"
경기도,시흥시,연성동,400,"1,094,800","958,100"
경기도,군포시,군포1동,383,"1,065,000","934,500"
경기도,군포시,군포2동,384,"1,066,800","935,800"
경기도,군포시,금정동,385,"1,068,500","937,200"
경기도,의왕시,부곡동,381,"1,061,400","931,700"
경기도,의왕시,오전동,380,"1,059,600","930,300"
경기도,의왕시,청계동,386,"1,070,400","938,700"
경기도,하남시,천현동,375,"1,050,800","923,300"
경기도,하남시,덕풍1동,380,"1,059,600","930,300"
경기도,하남시,춘궁동,377,"1,054,300","926,100"
경기도,하남시,초이동,380,"1,059,600","930,300"
경기도,하남시,풍산동,377,"1,054,300","926,100"
경기도,하남시,감북동,381,"1,061,400","931,700"
경기도,용인시 처인구,모현읍,364,"1,031,300","907,600"
경기도,용인시 처인구,이동읍,360,"1,024,100","901,800"
경기도,용인시 처인구,남사면,356,"1,017,000","896,300"
경기도,용인시 처인구,원삼면,358,"1,020,500","899,200"
경기도,용인시 처인구,백암면,350,"1,006,200","887,700"
경기도,용인시 처인구,양지면,349,"1,004,200","886,000"
경기도,용인시 처인구,중앙동,358,"1,020,500","899,200"
경기도,용인시 처인구,유림동,356,"1,017,000","896,300"
경기도,용인시 기흥구,기흥동,368,"1,038,300","913,400"
경기도,용인시 기흥구,서농동,367,"1,036,600","911,800"
경기도,용인시 기흥구,상하동,367,"1,036,600","911,800"
경기도,용인시 수지구,동천동,377,"1,054,300","926,100"
경기도,파주시,문산읍,444,"1,171,700","1,018,200"
경기도,파주시,파주읍,444,"1,171,700","1,018,200"
경기도,파주시,법원읍,430,"1,147,400","999,100"
경기도,파주시,조리읍,428,"1,144,000","996,600"
경기도,파주시,월롱면,439,"1,163,100","1,011,600"
경기도,파주시,탄현면,448,"1,178,600","1,023,900"
경기도,파주시,광탄면,424,"1,137,000","991,100"
경기도,파주시,파평면,455,"1,190,700","1,034,500"
경기도,파주시,적성면,444,"1,171,700","1,018,200"
경기도,파주시,금촌1동,433,"1,152,500","1,003,300"
경기도,파주시,금촌3동,434,"1,154,400","1,004,600"
경기도,파주시,교하동,438,"1,161,400","1,010,100"
경기도,파주시,운정1동,434,"1,154,400","1,004,600"
경기도,이천시,장호원읍,311,"924,900","822,100"
경기도,이천시,부발읍,335,"975,100","862,700"
경기도,이천시,신둔면,344,"993,700","877,800"
경기도,이천시,백사면,342,"989,600","874,400"
경기도,이천시,호법면,338,"981,300","867,800"
경기도,이천시,마장면,342,"989,600","874,400"
경기도,이천시,대월면,333,"970,900","859,400"
경기도,이천시,모가면,341,"987,600","872,700"
경기도,이천시,설성면,322,"947,900","840,700"
경기도,이천시,율면,318,"939,500","834,000"
경기도,이천시,중리동,334,"972,900","861,000"
경기도,이천시,관고동,335,"975,100","862,700"
경기도,이천시,증포동,335,"975,100","862,700"
경기도,안성시,공도읍,339,"983,400","869,400"
경기도,안성시,보개면,348,"1,002,100","884,400"
경기도,안성시,서운면,336,"977,300","864,400"
경기도,안성시,미양면,345,"995,800","879,300"
경기도,안성시,대덕면,345,"995,800","879,300"
경기도,안성시,양성면,352,"1,009,800","890,600"
경기도,안성시,원곡면,347,"1,000,000","882,700"
경기도,안성시,일죽면,324,"952,000","844,100"
경기도,안성시,죽산면,340,"985,500","871,100"
경기도,안성시,삼죽면,346,"998,000","881,100"
경기도,안성시,안성1동,345,"995,800","879,300"
경기도,안성시,안성2동,344,"993,700","877,800"
경기도,안성시,안성3동,345,"995,800","879,300"
경기도,김포시,통진읍,438,"1,161,400","1,010,100"
경기도,김포시,고촌읍,420,"1,129,900","985,600"
경기도,김포시,양촌읍,436,"1,157,800","1,007,200"
경기도,김포시,대곶면,440,"1,164,800","1,012,800"
경기도,김포시,월곶면,443,"1,170,000","1,017,000"
경기도,김포시,하성면,440,"1,164,800","1,012,800"
경기도,김포시,사우동,427,"1,142,200","995,000"
경기도,김포시,풍무동,426,"1,140,400","993,800"
경기도,김포시,운양동,430,"1,147,400","999,100"
경기도,김포시,김포본동,429,"1,145,700","997,800"
경기도,화성시,봉담읍,377,"1,054,300","926,100"
경기도,화성시,우정읍,381,"1,061,400","931,700"
경기도,화성시,향남읍,375,"1,050,800","923,300"
경기도,화성시,남양읍,393,"1,082,700","948,300"
경기도,화성시,비봉면,388,"1,073,800","941,300"
경기도,화성시,마도면,390,"1,077,400","944,100"
경기도,화성시,송산면,390,"1,077,400","944,100"
경기도,화성시,서신면,395,"1,086,100","951,200"
경기도,화성시,팔탄면,378,"1,056,200","927,500"
경기도,화성시,장안면,383,"1,065,000","934,500"
경기도,화성시,양감면,367,"1,036,600","911,800"
경기도,화성시,정남면,374,"1,049,000","921,800"
경기도,화성시,진안동,367,"1,036,600","911,800"
경기도,화성시,병점1동,366,"1,034,800","910,400"
경기도,화성시,반월동,368,"1,038,300","913,400"
경기도,화성시,화산동,368,"1,038,300","913,400"
경기도,화성시,동탄1동,366,"1,034,800","910,400"
경기도,화성시,동탄5동,367,"1,036,600","911,800"
경기도,화성시,동탄7동,360,"1,024,100","901,800"
경기도,화성시,동탄6동,359,"1,022,200","900,500"
경기도,화성시,동탄8동,359,"1,022,200","900,500"
경기도,광주시,오포읍,364,"1,031,300","907,600"
경기도,광주시,초월읍,356,"1,017,000","896,300"
경기도,광주시,곤지암읍,353,"1,011,500","891,900"
경기도,광주시,도척면,350,"1,006,200","887,700"
경기도,광주시,퇴촌면,369,"1,040,100","914,600"
경기도,광주시,남종면,373,"1,047,300","920,400"
경기도,광주시,송정동,367,"1,036,600","911,800"
경기도,광주시,광남동,362,"1,027,600","904,800"
경기도,양주시,백석읍,415,"1,121,300","978,800"
경기도,양주시,은현면,428,"1,144,000","996,600"
경기도,양주시,남면,434,"1,154,400","1,004,600"
경기도,양주시,광적면,418,"1,126,500","982,900"
경기도,양주시,양주1동,408,"1,108,900","969,100"
경기도,양주시,양주2동,415,"1,121,300","978,800"
경기도,양주시,회천1동,421,"1,131,700","986,900"
경기도,양주시,회천2동,419,"1,128,200","984,300"
경기도,양주시,회천4동,420,"1,129,900","985,600"
경기도,포천시,소흘읍,417,"1,124,700","981,600"
경기도,포천시,군내면,427,"1,142,200","995,000"
경기도,포천시,내촌면,410,"1,112,500","971,900"
경기도,포천시,가산면,424,"1,137,000","991,100"
경기도,포천시,신북면,431,"1,149,100","1,000,600"
경기도,포천시,영중면,440,"1,164,800","1,012,800"
경기도,포천시,일동면,433,"1,152,500","1,003,300"
경기도,포천시,이동면,442,"1,168,400","1,015,600"
경기도,포천시,영북면,450,"1,182,100","1,026,900"
경기도,포천시,관인면,460,"1,199,200","1,041,900"
경기도,포천시,화현면,427,"1,142,200","995,000"
경기도,포천시,포천동,427,"1,142,200","995,000"
경기도,포천시,선단동,420,"1,129,900","985,600"
경기도,여주시,가남읍,322,"947,900","840,700"
경기도,여주시,점동면,331,"966,700","855,900"
경기도,여주시,능서면,329,"962,400","852,500"
경기도,여주시,흥천면,335,"975,100","862,700"
경기도,여주시,대신면,342,"989,600","874,400"
경기도,여주시,강천면,335,"975,100","862,700"
경기도,여주시,여흥동,333,"970,900","859,400"
경기도,여주시,중앙동,332,"968,700","857,700"
