편도거리(KM),40FT 컨테이너,20FT 컨테이너
387,"1,072,100","940,000"
388,"1,073,800","941,300"
389,"1,075,700","942,900"
390,"1,077,400","944,100"
391,"1,079,100","945,500"
392,"1,080,900","947,000"
393,"1,082,700","948,300"
394,"1,084,400","949,700"
395,"1,086,100","951,200"
396,"1,087,900","952,400"
397,"1,089,700","953,900"
398,"1,091,400","955,200"
399,"1,093,200","956,700"
400,"1,094,800","958,100"
401,"1,096,600","959,400"
402,"1,098,400","960,800"
403,"1,100,100","962,200"
404,"1,101,900","963,500"
405,"1,103,600","965,000"
406,"1,105,400","966,300"
407,"1,107,100","967,800"
408,"1,108,900","969,100"
409,"1,110,700","970,400"
410,"1,112,500","971,900"
411,"1,114,200","973,100"
412,"1,116,000","974,600"
413,"1,117,700","975,900"
414,"1,119,500","977,300"
415,"1,121,300","978,800"
416,"1,123,000","980,000"
417,"1,124,700","981,600"
418,"1,126,500","982,900"
419,"1,128,200","984,300"
420,"1,129,900","985,600"
421,"1,131,700","986,900"
422,"1,133,400","988,400"
423,"1,135,300","989,700"
424,"1,137,000","991,100"
425,"1,138,700","992,400"
426,"1,140,400","993,800"
427,"1,142,200","995,000"
428,"1,144,000","996,600"
429,"1,145,700","997,800"
430,"1,147,400","999,100"
431,"1,149,100","1,000,600"
432,"1,150,800","1,001,900"
433,"1,152,500","1,003,300"
434,"1,154,400","1,004,600"
435,"1,156,100","1,006,000"
436,"1,157,800","1,007,200"
437,"1,159,500","1,008,800"
438,"1,161,400","1,010,100"
439,"1,163,100","1,011,600"
440,"1,164,800","1,012,800"
441,"1,166,700","1,014,200"
442,"1,168,400","1,015,600"
443,"1,170,000","1,017,000"
444,"1,171,700","1,018,200"
445,"1,173,500","1,019,600"
446,"1,175,200","1,020,900"
447,"1,176,900","1,022,400"
448,"1,178,600","1,023,900"
449,"1,180,500","1,025,400"
450,"1,182,100","1,026,900"
451,"1,183,800","1,028,400"
452,"1,185,500","1,029,900"
453,"1,187,300","1,031,400"
454,"1,189,000","1,032,900"
455,"1,190,700","1,034,500"
456,"1,192,400","1,035,900"
457,"1,194,100","1,037,400"
458,"1,195,800","1,038,900"
459,"1,197,400","1,040,400"
460,"1,199,200","1,041,900"
461,"1,201,000","1,043,500"
462,"1,202,600","1,045,000"
463,"1,204,400","1,046,500"
464,"1,206,200","1,047,900"
465,"1,207,900","1,049,400"
466,"1,209,600","1,050,900"
467,"1,211,200","1,052,400"
468,"1,213,000","1,053,900"
469,"1,214,700","1,055,400"
470,"1,216,400","1,056,900"
471,"1,218,200","1,058,400"
472,"1,219,800","1,059,800"
473,"1,221,500","1,061,400"
474,"1,223,200","1,062,900"
475,"1,225,000","1,064,400"
476,"1,226,700","1,065,700"
477,"1,228,300","1,067,300"
478,"1,230,000","1,068,800"
479,"1,231,800","1,070,200"
480,"1,233,500","1,071,700"
481,"1,235,200","1,073,300"
482,"1,236,800","1,074,800"
483,"1,238,600","1,076,200"
484,"1,240,300","1,077,700"
485,"1,242,000","1,079,100"
486,"1,243,600","1,080,600"
487,"1,245,400","1,082,100"
488,"1,247,100","1,083,600"
489,"1,248,800","1,085,100"
490,"1,250,500","1,086,600"
491,"1,252,200","1,088,100"
492,"1,254,000","1,089,500"
493,"1,255,700","1,090,900"
494,"1,257,400","1,092,500"
495,"1,259,100","1,094,000"
496,"1,260,800","1,095,500"
497,"1,262,500","1,096,900"
498,"1,264,200","1,098,400"
499,"1,265,900","1,099,900"
500,"1,267,600","1,101,300"
501,"1,269,500","1,102,800"
502,"1,271,100","1,104,300"
503,"1,272,800","1,105,800"
504,"1,274,500","1,107,300"
505,"1,276,300","1,108,700"
506,"1,277,900","1,110,200"
507,"1,279,500","1,111,800"
508,"1,281,200","1,113,300"
509,"1,283,000","1,114,700"
510,"1,284,600","1,116,200"
511,"1,286,300","1,117,600"
512,"1,288,000","1,119,100"
513,"1,289,700","1,120,600"
514,"1,291,400","1,122,100"
515,"1,293,000","1,123,500"
516,"1,294,700","1,125,000"
517,"1,296,400","1,126,500"
518,"1,298,100","1,127,900"
519,"1,299,800","1,129,400"
520,"1,301,300","1,131,000"
521,"1,303,100","1,132,300"
522,"1,304,800","1,133,900"
523,"1,306,400","1,135,400"
524,"1,308,200","1,136,800"
525,"1,309,900","1,138,300"
526,"1,311,600","1,139,800"
527,"1,313,200","1,141,100"
528,"1,315,000","1,142,600"
529,"1,316,600","1,144,200"
530,"1,318,200","1,145,500"
531,"1,319,900","1,147,000"
532,"1,321,700","1,148,400"
533,"1,323,300","1,150,000"
534,"1,325,000","1,151,400"
535,"1,326,700","1,152,800"
536,"1,328,400","1,154,300"
537,"1,330,000","1,155,800"
538,"1,331,700","1,157,200"
539,"1,333,500","1,158,700"
540,"1,335,300","1,160,200"
541,"1,337,000","1,161,600"
542,"1,338,600","1,163,100"
543,"1,340,400","1,164,500"
544,"1,342,000","1,166,000"
545,"1,343,600","1,167,500"
546,"1,345,300","1,168,800"
547,"1,347,100","1,170,400"
548,"1,348,700","1,171,800"
549,"1,350,400","1,173,300"
550,"1,352,000","1,174,700"
